,0
failure rate,0.3141258162417184
number of cars in jordan,0.3137797685382956
selling location=2,0.115201758875767
selling location=1,0.09775030970007022
repair or replacement cost,0.07566405559002692
car type=1,0.053636984330171715
made in=2,0.04698921364438593
selling location=3,0.04693090810984997
service location (repair shop/automotive company=1,0.04445077066297009
car type=2,0.043686943867304616
car type=4,0.0403730035785967
new\used=1,0.040160961117210875
car age,0.03759427042267855
original/imitator=0,0.036500860522685995
new\used=0,0.03349239784705557
service location (repair shop/automotive company=2,0.03344115457781654
price of the car,0.03226598619013206
original/imitator=1,0.03042523691610368
made in=3,0.02056150482145058
car total maintenance cost average,0.019761648902258903
