,0
number of cars in jordan,0.5097781480116722
failure rate,0.4537887908594318
made in=2,0.1066452508850415
selling location=2,0.10397715821034251
service location (repair shop/automotive company=1,0.09296810121301187
car type=1,0.08605805068039464
selling location=1,0.08338411297022738
new\used=1,0.0800844625781061
price of the car,0.08001483323158895
repair or replacement cost,0.07903943911546117
service location (repair shop/automotive company=2,0.07687928501520476
new\used=0,0.07002097523411317
selling location=3,0.05742050695124154
made in=3,0.05333469856991812
car type=4,0.05021107585257452
car type=2,0.04731851610035602
car age,0.042811438069411636
car total maintenance cost average,0.03313177973437724
original/imitator=0,0.029990729313979753
car type=3,0.028607950220309285
